fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
022131,鹏华普利债券E,1.0101,1.0101,1.0095,1.0095,0.0006,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
022132,鹏华中债3-5年国开行债券指数D,1.0225,1.0251,1.0196,1.0222,0.0029,0.28,2025-04-06,2025-04-06,2025-04-06 17:24:22
022133,富国增利债券发起式E,1.0630,1.0790,1.0606,1.0766,0.0024,0.23,2025-04-06,2025-04-06,2025-04-06 17:24:22
022134,富国增利债券发起式F,1.0651,1.0811,1.0628,1.0788,0.0023,0.22,2025-04-06,2025-04-06,2025-04-06 17:24:22
022135,富国长江经济带纯债债券C,1.0837,1.0837,1.0824,1.0824,0.0013,0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
022136,富国长江经济带纯债债券E,1.0844,1.0844,1.0830,1.0830,0.0014,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022137,中银MSCI中国A50互联互通指数增强E,1.2927,1.2927,1.2906,1.2906,0.0021,0.16,2025-08-12,2025-08-12,2025-08-12 14:58:19
022138,平安元泓30天滚动持有短债E,1.1061,1.1061,1.1057,1.1057,0.0004,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022139,平安3-5年期政策性金融债债券E,1.1159,1.1159,1.1130,1.1130,0.0029,0.26,2025-04-06,2025-04-06,2025-04-06 17:24:22
022140,华安信用四季红债券E,1.0453,1.0703,1.0425,1.0675,0.0028,0.27,2025-04-06,2025-04-06,2025-04-06 17:24:22
022141,国泰利享安益短债债券F,1.0757,1.0757,1.0753,1.0753,0.0004,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022142,鹏华金利债券D,1.0193,1.0219,1.0172,1.0198,0.0021,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
022143,富国景利纯债债券D,1.1053,1.1053,1.1038,1.1038,0.0015,0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
022144,银华中证高股息策略ETF发起式联接A,0.9686,0.9686,0.9700,0.9700,-0.0014,-0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
022145,银华中证高股息策略ETF发起式联接C,0.9677,0.9677,0.9692,0.9692,-0.0015,-0.15,2025-04-06,2025-04-06,2025-04-06 17:24:22
022146,金鹰元盛债券(LOF)D,1.3170,1.3170,1.3150,1.3150,0.0020,0.15,2025-04-06,2025-04-06,2025-04-06 17:24:22
022147,国联安中短债债券D,1.0228,1.0538,1.0223,1.0533,0.0005,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022148,诺安价值增长混合C,1.7848,1.7848,1.7803,1.7803,0.0045,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022149,诺安价值增长混合D,1.7831,1.7831,1.7786,1.7786,0.0045,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022150,诺安精选价值混合C,1.9300,1.9300,1.9150,1.9150,0.0150,0.78,2025-08-12,2025-08-12,2025-08-12 14:58:18
022155,交银裕隆纯债债券D,1.3264,1.3944,1.3241,1.3921,0.0023,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022156,鹏华可转债债券D,1.3952,1.3952,1.3801,1.3801,0.0151,1.09,2025-08-12,2025-08-12,2025-08-12 14:58:18
022157,东兴红利优选混合A,1.0193,1.0193,1.0178,1.0178,0.0015,0.15,2025-04-06,2025-04-06,2025-04-06 17:24:22
022158,东兴红利优选混合C,1.0178,1.0178,1.0163,1.0163,0.0015,0.15,2025-04-06,2025-04-06,2025-04-06 17:24:22
022159,富国丰利增强债券E,1.3456,1.3456,1.3413,1.3413,0.0043,0.32,2025-08-12,2025-08-12,2025-08-12 14:58:19
022161,鹏华安惠混合E,1.0832,1.0832,1.0794,1.0794,0.0038,0.35,2025-04-06,2025-04-06,2025-04-06 00:36:37
022162,交银纯债债券发起D,1.0932,1.1152,1.0913,1.1133,0.0019,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022163,鹏华稳利短债债券D,1.0086,1.0086,1.0081,1.0081,0.0005,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022164,西部利得央企优选股票A,1.0673,1.1873,1.0646,1.1846,0.0027,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022165,西部利得央企优选股票C,1.0642,1.1842,1.0615,1.1815,0.0027,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022166,招商智安稳健配置1年持有期混合(FOF)D,1.0575,1.0575,1.0566,1.0566,0.0009,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
022167,富国资源精选混合发起式C,1.2141,1.2141,1.1986,1.1986,0.0155,1.29,2025-10-02,2025-10-02,2025-10-02 11:18:04
022168,富国洞见价值股票E,1.2720,1.2720,1.2684,1.2684,0.0036,0.28,2025-08-12,2025-08-12,2025-08-12 14:58:19
022169,大成中证红利指数E,2.5169,2.5169,2.5141,2.5141,0.0028,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
022170,富国全球消费精选混合(QDII)人民币E,1.6271,1.6271,1.6185,1.6185,0.0086,0.53,2025-08-12,2025-08-12,2025-08-12 14:58:19
022171,富国新天锋债券(LOF)E,1.1587,1.1587,1.1564,1.1564,0.0023,0.20,2025-04-06,2025-04-06,2025-04-06 17:24:22
022173,海富通沪港深混合C,1.6268,1.6268,1.6189,1.6189,0.0079,0.49,2025-08-12,2025-08-12,2025-08-12 14:58:19
